"","year","name","unemployment_rate","gdp","population","income","total_area_sq_km","land_area_sq_km","water_area_sq_km","high_school_grad_number","death_rate","death_numbers","percent_in_poverty"
"179","2018","Missouri",3.2,419.159,6121623,71350,180540,178040,2501,1266430,27.5,1610,13.2
"180","2018","Montana",3.7,440.087,1060665,66670,380831,376962,3869,208896,12.2,125,12.9
"181","2018","Nebraska",2.9,454.775,1925614,78110,200330,198974,1356,326549,7.4,138,11
"182","2018","Nevada",4.4,465.377,3027341,71510,286380,284332,2048,563229,21.2,688,13.1
"183","2018","New Hampshire",2.6,440.497,1353465,94020,24214,23187,1027,263005,35.8,452,7.6
"184","2018","New Jersey",4,425.416,8886025,85740,22591,19047,3544,1683568,33.1,2900,9.5
"185","2018","New Mexico",4.9,413.686,2092741,55810,314917,314161,757,368487,26.7,537,18.8
"186","2018","New York",4.1,439.194,19530351,77760,141297,122057,19240,3556251,18.4,3697,13.7
"187","2018","North Carolina",4,450.749,10381615,61690,139391,125920,13471,1780253,22.4,2259,14.1
"188","2018","North Dakota",2.4,431.499,758080,76870,183108,178711,4397,131264,10.2,70,10.6
"189","2018","Ohio",4.5,438.25,11676341,71240,116098,105829,10269,2639478,35.9,3980,13.8
"190","2018","Oklahoma",3.3,451.646,3940235,62920,181037,177660,3377,806407,18.4,716,15.5
"191","2018","Oregon",4,492.3,4181886,79950,254799,248608,6191,656365,12.6,547,12.5
"192","2018","Pennsylvania",4.4,434.635,12800922,74580,119280,115883,3397,3133655,36.1,4415,12.2
"193","2018","Rhode Island",4,407.523,1058287,71970,4001,2678,1324,207007,30.1,317,12.8
"194","2018","South Carolina",3.4,466.397,5084156,66400,82933,77857,5076,998459,22.6,1125,15.2
"195","2018","South Dakota",2.8,421.856,878698,68730,199729,196350,3379,173262,6.9,57,12.9
"196","2018","Tennessee",3.5,451.966,6771631,64800,109153,106798,2355,1467848,27.5,1823,15.2
"197","2018","Texas",3.9,486.442,28628666,69100,695662,676587,19075,4448881,10.4,3005,14.9
"198","2018","Utah",2.9,508.436,3153550,89080,219882,212818,7064,407324,21.2,624,9.1
"199","2018","Vermont",2.5,404.938,624358,80990,24906,23871,1035,128172,26.6,153,10.7
"200","2018","Virginia",3,428.648,8501286,89180,110787,102279,8508,1381080,17.1,1448,10.7
"201","2018","Washington",4.4,514.348,7523869,92150,184661,172119,12542,1109016,14.8,1164,10.3
"202","2018","West Virginia",5.1,416.201,1804291,58460,62756,62259,497,523536,51.5,856,17.4
"203","2018","Wisconsin",3,431.692,5807406,72390,169635,140268,29367,1216570,19.2,1079,11.1
"204","2018","Wyoming",4.1,392.019,577601,72290,253335,251470,1864,111899,11.1,66,10.7
"205","2019","Alabama",3.2,429.987,4903185,64010,135767,131171,4597,1022839,16.3,768,15.6
"206","2019","Alaska",5.6,366.716,731545,89290,1723337,1477953,245383,134582,17.8,132,10.2
"207","2019","Arizona",4.8,479.509,7278717,80500,295234,294207,1026,1129129,26.8,1907,13.5
"208","2019","Arkansas",3.5,431.832,3017804,62120,137732,134771,2961,684659,13.5,388,16
"209","2019","California",4.1,516.631,39512223,88960,423967,403466,20501,5423462,15,6198,11.8
"210","2019","Colorado",2.7,517.93,5758736,82580,269601,268431,1170,817452,18,1079,9.4
"211","2019","Connecticut",3.6,417.692,3565287,99420,14357,12542,1816,666828,34.7,1214,9.9
"212","2019","Delaware",3.6,411.475,973764,84510,6446,5047,1399,209449,48,435,11.2
"213","2019","District of Columbia",5.5,444.367,705749,106100,177,158,19,83185,NA,NA,14.1
"214","2019","Florida",3.2,496.142,21477737,66480,170312,138887,31424,4276237,25.5,5268,12.7
"215","2019","Georgia",3.6,497.909,10617423,64500,153910,148959,4951,1909067,13.1,1408,13.5
"216","2019","Hawaii",2.5,440.654,1415872,100200,28313,16635,11678,271648,15.9,242,9
"217","2019","Idaho",2.9,508.626,1787065,75160,216443,214045,2398,305181,15.1,265,11
"218","2019","Illinois",4,427.312,12671821,84740,149995,143793,6202,2254524,21.9,2790,11.4
"219","2019","Indiana",3.3,449.765,6732219,75960,94326,92789,1537,1480084,26.6,1699,11.9
"220","2019","Iowa",2.7,438.309,3155070,75240,145746,144669,1077,648398,11.5,352,11
"221","2019","Kansas",3.3,450.792,2913314,83320,213100,211754,1346,492807,14.3,403,11.3
"222","2019","Kentucky",4.1,433.295,4467673,63400,104656,102269,2387,993098,32.5,1380,16
"223","2019","Louisiana",4.6,402.821,4648794,58890,135659,111898,23761,1061388,28.3,1267,18.8
"224","2019","Maine",2.9,443.768,1344212,75800,91633,79883,11750,306589,29.9,371,10.9
"225","2019","Maryland",3.4,442.743,6045680,108900,32131,25142,6990,1018653,38.2,2369,9.1
